ChkRef,Debit,Credit,Balance,Date,Description
,23.62,,0.00,2021-12-02,JERSEY MIKE'S 27 PARK RIDGE IL (PENDING)
,,100.00,1972.64,2021-12-02,INTERNET TFR FRM CHK XXXX
,5.76,,1872.64,2021-12-02,DISCOVER E-PAYMENT 211201 WEB
,30.00,,1878.40,2021-12-02,BETTERMENT SEC TRANSFER 211201 WEB
,8.37,,1908.40,2021-12-02,MCDONALD'S F83 POS HARWOOD HEIGH IL US 030172
,6.06,,1916.77,2021-12-01,MCDONALD'S F6771 POS CHICAGO IL US 086933
,100.00,,1922.83,2021-12-01,INTERNET TFR TO CHK XXXX
,30.00,,2022.83,2021-11-30,ZEL*JULIAN GONZA POS Visa Direct AZ US 350752
,45.41,,2052.83,2021-11-30,OFFSET BBQ* OFFS POS HTTPSWWW.OFFS IL US 022289
,13.84,,2098.24,2021-11-30,RAISING CANE'S # POS HARWOOD HEIGH IL US 050164
,5.39,,2112.08,2021-11-30,McDonalds 83 POS 170-8867868 IL US 009585
,,500.00,2117.47,2021-11-30,INTERNET TFR FRM CHK XXXX
,,621.69,1617.47,2021-11-30,NETWORK MECHANTS DIRECT DEP 211130 PPD
,,42.64,995.78,2021-11-30,INSTANT PAYROLL 211130 PPD
,23.14,,953.14,2021-11-29,AMAZON.COM*JL6T6 POS SEATTLE WA US 006930
,12.31,,976.28,2021-11-29,MCDONALD'S M7882 POS SKOKIE IL US 078264
,14.58,,988.59,2021-11-29,OUTBACK 1420 POS SKOKIE IL US 048963
,500.00,,1003.17,2021-11-29,INTERNET TFR TO CHK XXXX
,4.41,,1503.17,2021-11-27,MCDONALD'S F83 POS HARWOOD HEIGH IL US 023029
,17.95,,1507.58,2021-11-26,UBER TRIP POS HELP.UBER.COM CA US 024303
,3.29,,1525.53,2021-11-26,UBER TRIP POS HELP.UBER.COM CA US 046734
,28.38,,1528.82,2021-11-26,MCDONALD'S F83 POS HARWOOD HTS IL US 497620
,5.76,,1557.20,2021-11-26,STARBUCKS 59748 POS NASHVILLE TN US 039949
,24.04,,1562.96,2021-11-24,SQ *RHINO BOOKSE POS NASHVILLE TN US 312822
,21.96,,1587.00,2021-11-24,UBER TRIP POS HELP.UBER.COM CA US 095175
,51.00,,1608.96,2021-11-23,CASH APP*MICHAEL POS XXXX CA US 008289
,4.41,,1659.96,2021-11-23,MCDONALD'S F83 POS HARWOOD HEIGH IL US 088700
,,56.59,1664.37,2021-11-23,INSTANT PAYROLL 211123 PPD
,30.24,,1607.78,2021-11-22,DISCOVER E-PAYMENT 211121 WEB
,30.67,,1638.02,2021-11-22,LAKSHAMI CORP. POS HARWOOD HEIGH IL US 968853
,22.99,,1668.69,2021-11-22,OUTBACK 1420 POS SKOKIE IL US 086846
,18.92,,1691.68,2021-11-19,MCDONALD'S F83 POS HARWOOD HTS IL US 614086
,4.43,,1710.60,2021-11-19,MCDONALD'S F2367 POS CHICAGO IL US 060295
,23.06,,1715.03,2021-11-17,PLANET FIT CLUB FEES PPD
,500.00,,1738.09,2021-11-17,CASH APP*MICHAEL POS XXXX CA US 056712
,14.01,,2238.09,2021-11-17,CHIPOTLE 1244 POS CHICAGO IL US 000060
,1000.00,,2252.10,2021-11-16,WITHDRAWAL FOSTER OFFICE
,,1500.00,3252.10,2021-11-16,Square Inc * Cash App 211116 CCD TXXXX16
